time,steer_pos,thrust_pos,break_pos,tail1_pos,tail2_pos,vtg_knots,vtg_km,        gll,S/N,gll2,E/W,euler0,euler1,euler2,lin_acc0,lin_acc1mlin_acc2,gyro0,gyro1,gyro2
2022-11-01_15:07:43
0,0,0,str(tail1_pos),str(tail2_pos)),3.549,6.573,3357.50664,S,01827.75512,E,116.0,-1.6875,12.0,0.05,-0.03,0.01,-0.002181661564992912,-0.003272492347489368,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),3.529,6.535,3357.50585,S,01827.75450,E,116.0,-1.6875,12.0,0.06,0.01,-0.13,0.00545415391248228,0.003272492347489368,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),3.271,6.058,3357.50523,S,01827.75371,E,116.0,-1.6875,12.0,0.01,0.01,0.02,0.002181661564992912,-0.002181661564992912,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),3.032,5.615,3357.50479,S,01827.75284,E,116.0,-1.6875,12.0,0.02,-0.02,-0.04,0.0,0.0,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),3.289,6.091,3357.50441,S,01827.75187,E,116.0,-1.6875,12.0,0.01,0.01,-0.14,-0.002181661564992912,-0.003272492347489368,-0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),3.309,6.128,3357.50406,S,01827.75083,E,116.0,-1.6875,12.0,0.02,0.0,-0.01,-0.001090830782496456,0.001090830782496456,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),3.394,6.285,3357.50365,S,01827.74975,E,116.0,-1.6875,12.0,0.04,0.0,-0.01,0.007635815477475192,-0.00545415391248228,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),2.806,5.198,3357.50341,S,01827.74880,E,116.0,-1.6875,12.0,0.06,0.02,-0.05,-0.003272492347489368,-0.002181661564992912,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),2.792,5.171,3357.50321,S,01827.74790,E,116.0,-1.6875,12.0,0.1,-0.02,-0.24,0.0,0.0,0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),2.026,3.753,3357.50329,S,01827.74719,E,116.0,-1.6875,12.0,0.04,-0.01,-0.12,0.0,0.004363323129985824,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.151,0.279,3357.50332,S,01827.74703,E,116.0,-1.6875,12.0,0.01,0.0,-0.07,-0.003272492347489368,-0.002181661564992912,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.184,0.340,3357.50330,S,01827.74706,E,116.0,-1.6875,12.0,0.02,0.0,-0.18,-0.001090830782496456,0.002181661564992912,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.037,0.069,3357.50327,S,01827.74706,E,116.0,-1.6875,12.0,0.09,-0.01,-0.08,0.0,-0.001090830782496456,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.054,0.100,3357.50323,S,01827.74701,E,116.0,-1.6875,12.0,0.02,-0.02,-0.11,0.001090830782496456,-0.00545415391248228,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.109,0.203,3357.50328,S,01827.74702,E,116.0,-1.6875,12.0,0.06,-0.01,0.0,0.0,0.0,0.0
0,0,0,str(tail1_pos),str(tail2_pos)),0.041,0.076,3357.50323,S,01827.74696,E,116.0,-1.6875,12.0,0.06,0.0,-0.02,0.0,0.0,-0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.103,0.191,3357.50324,S,01827.74695,E,116.0,-1.6875,12.0,0.03,0.0,-0.12,-0.001090830782496456,-0.001090830782496456,0.001090830782496456
0,0,0,str(tail1_pos),str(tail2_pos)),0.062,0.116,3357.50324,S,01827.74690,E,116.0,-1.6875,12.0,-0.01,-0.01,-0.1,0.001090830782496456,0.001090830782496456,0.003272492347489368
0,0,0,str(tail1_pos),str(tail2_pos)),0.802,1.485,3357.50325,S,01827.74705,E,116.0,-1.6875,12.0,0.0,0.0,-0.08,-0.001090830782496456,0.002181661564992912,0.002181661564992912
0,0,0,str(tail1_pos),str(tail2_pos)),2.063,3.821,3357.50348,S,01827.74753,E,116.0,-1.6875,12.0,0.05,-0.01,-0.15,0.0,-0.003272492347489368,0.001090830782496456
2022-11-01_15:07:49
